[2020-12-21 14:56:05.907] [Logger] [info] Visit Function Decl: delete_child_targets
[2020-12-21 14:56:05.909] [Logger] [info] Visit Function Decl: chop_commands
[2020-12-21 14:56:05.912] [Logger] [info] Visit Function Decl: remote_kill
[2020-12-21 14:56:05.959] [Logger] [info] Visit Function Decl: set_file_variables
[2020-12-21 14:56:05.978] [Logger] [info] Visit Function Decl: chop_commands
[2020-12-21 14:56:05.984] [Logger] [info] Visit Function Decl: execute_file_commands
[2020-12-21 14:56:05.996] [Logger] [info] Visit Function Decl: fatal_error_signal
[2020-12-21 14:56:06.016] [Logger] [info] Visit Function Decl: delete_target
[2020-12-21 14:56:06.020] [Logger] [info] Visit Function Decl: delete_child_targets
[2020-12-21 14:56:06.028] [Logger] [info] Visit Function Decl: print_commands
[2020-12-21 14:56:06.031] [Logger] [info] Visit Function Decl: memcpy
[2020-12-21 14:56:06.033] [Logger] [info] Visit Function Decl: memset
[2020-12-21 14:56:06.035] [Logger] [info] Visit Function Decl: xstrdup
[2020-12-21 14:56:06.039] [Logger] [info] Visit Function Decl: dir_file_exists_p
[2020-12-21 14:56:06.041] [Logger] [info] Visit Function Decl: file_impossible_p
[2020-12-21 14:56:06.043] [Logger] [info] Visit Function Decl: file_impossible
[2020-12-21 14:56:06.046] [Logger] [info] Visit Function Decl: dir_name
[2020-12-21 14:56:06.048] [Logger] [info] Visit Function Decl: opendir
[2020-12-21 14:56:06.051] [Logger] [info] Visit Function Decl: closedir
[2020-12-21 14:56:06.054] [Logger] [info] Visit Function Decl: readdir
[2020-12-21 14:56:06.063] [Logger] [info] Visit Function Decl: dir_contents_file_exists_p
[2020-12-21 14:56:06.066] [Logger] [info] Visit Function Decl: find_directory
[2020-12-21 14:56:06.085] [Logger] [info] Visit Function Decl: find_directory
[2020-12-21 14:56:06.102] [Logger] [info] Visit Function Decl: dir_contents_file_exists_p
[2020-12-21 14:56:06.105] [Logger] [info] Visit Function Decl: dir_file_exists_p
[2020-12-21 14:56:06.113] [Logger] [info] Visit Function Decl: file_exists_p
[2020-12-21 14:56:06.126] [Logger] [info] Visit Function Decl: file_impossible
[2020-12-21 14:56:06.139] [Logger] [info] Visit Function Decl: file_impossible_p
[2020-12-21 14:56:06.142] [Logger] [info] Visit Function Decl: dir_name
[2020-12-21 14:56:06.164] [Logger] [info] Visit Function Decl: print_dir_data_base
[2020-12-21 14:56:06.167] [Logger] [info] Visit Function Decl: open_dirstream
[2020-12-21 14:56:06.170] [Logger] [info] Visit Function Decl: read_dirstream
[2020-12-21 14:56:06.177] [Logger] [info] Visit Function Decl: open_dirstream
[2020-12-21 14:56:06.194] [Logger] [info] Visit Function Decl: read_dirstream
[2020-12-21 14:56:06.196] [Logger] [info] Visit Function Decl: ansi_free
[2020-12-21 14:56:06.201] [Logger] [info] Visit Function Decl: dir_setup_glob
[2020-12-21 14:56:06.203] [Logger] [info] Visit Function Decl: __assert_fail
[2020-12-21 14:56:06.207] [Logger] [info] Visit Function Decl: strcpy
[2020-12-21 14:56:06.209] [Logger] [info] Visit Function Decl: lindex
[2020-12-21 14:56:06.211] [Logger] [info] Visit Function Decl: find_percent
[2020-12-21 14:56:06.226] [Logger] [info] Visit Function Decl: variable_buffer_output
[2020-12-21 14:56:06.228] [Logger] [info] Visit Function Decl: variable_expand
[2020-12-21 14:56:06.231] [Logger] [info] Visit Function Decl: allocated_variable_expand_for_file
[2020-12-21 14:56:06.233] [Logger] [info] Visit Function Decl: expand_argument
[2020-12-21 14:56:06.236] [Logger] [info] Visit Function Decl: variable_expand_string
[2020-12-21 14:56:06.239] [Logger] [info] Visit Function Decl: handle_function
[2020-12-21 14:56:06.242] [Logger] [info] Visit Function Decl: subst_expand
[2020-12-21 14:56:06.245] [Logger] [info] Visit Function Decl: patsubst_expand
[2020-12-21 14:56:06.248] [Logger] [info] Visit Function Decl: recursively_expand
[2020-12-21 14:56:06.252] [Logger] [info] Visit Function Decl: lookup_variable
[2020-12-21 14:56:06.261] [Logger] [info] Visit Function Decl: variable_buffer_output
[2020-12-21 14:56:06.266] [Logger] [info] Visit Function Decl: initialize_variable_output
[2020-12-21 14:56:06.269] [Logger] [info] Visit Function Decl: allocated_variable_append
[2020-12-21 14:56:06.275] [Logger] [info] Visit Function Decl: recursively_expand
[2020-12-21 14:56:06.279] [Logger] [info] Visit Function Decl: warn_undefined
[2020-12-21 14:56:06.286] [Logger] [info] Visit Function Decl: reference_variable
[2020-12-21 14:56:06.323] [Logger] [info] Visit Function Decl: variable_expand_string
[2020-12-21 14:56:06.327] [Logger] [info] Visit Function Decl: variable_expand
[2020-12-21 14:56:06.398] [Logger] [info] Visit Function Decl: expand_argument
[2020-12-21 14:56:06.406] [Logger] [info] Visit Function Decl: variable_expand_for_file
[2020-12-21 14:56:06.426] [Logger] [info] Visit Function Decl: allocated_variable_append
[2020-12-21 14:56:06.432] [Logger] [info] Visit Function Decl: allocated_variable_expand_for_file
[2020-12-21 14:56:06.443] [Logger] [info] Visit Function Decl: fflush
[2020-12-21 14:56:06.447] [Logger] [info] Visit Function Decl: putchar
[2020-12-21 14:56:06.450] [Logger] [info] Visit Function Decl: time
[2020-12-21 14:56:06.454] [Logger] [info] Visit Function Decl: localtime
[2020-12-21 14:56:06.457] [Logger] [info] Visit Function Decl: clock_gettime
[2020-12-21 14:56:06.460] [Logger] [info] Visit Function Decl: abort
[2020-12-21 14:56:06.532] [Logger] [info] Visit Function Decl: snap_deps
[2020-12-21 14:56:06.535] [Logger] [info] Visit Function Decl: rename_file
[2020-12-21 14:56:06.551] [Logger] [info] Visit Function Decl: rehash_file
[2020-12-21 14:56:06.556] [Logger] [info] Visit Function Decl: file_hash_enter
[2020-12-21 14:56:06.560] [Logger] [info] Visit Function Decl: file_timestamp_now
[2020-12-21 14:56:06.580] [Logger] [info] Visit Function Decl: file_timestamp_sprintf
[2020-12-21 14:56:06.584] [Logger] [info] Visit Function Decl: print_file_variables
[2020-12-21 14:56:06.588] [Logger] [info] Visit Function Decl: merge_variable_set_lists
[2020-12-21 14:56:06.612] [Logger] [info] Visit Function Decl: lookup_file
[2020-12-21 14:56:06.624] [Logger] [info] Visit Function Decl: enter_file
[2020-12-21 14:56:06.642] [Logger] [info] Visit Function Decl: rehash_file
[2020-12-21 14:56:06.647] [Logger] [info] Visit Function Decl: rename_file
[2020-12-21 14:56:06.679] [Logger] [info] Visit Function Decl: file_hash_enter
[2020-12-21 14:56:06.692] [Logger] [info] Visit Function Decl: remove_intermediates
[2020-12-21 14:56:06.723] [Logger] [info] Visit Function Decl: snap_deps
[2020-12-21 14:56:06.728] [Logger] [info] Visit Function Decl: set_command_state
[2020-12-21 14:56:06.739] [Logger] [info] Visit Function Decl: file_timestamp_now
[2020-12-21 14:56:06.760] [Logger] [info] Visit Function Decl: file_timestamp_sprintf
[2020-12-21 14:56:06.795] [Logger] [info] Visit Function Decl: print_file
[2020-12-21 14:56:06.807] [Logger] [info] Visit Function Decl: print_file_data_base
[2020-12-21 14:56:06.810] [Logger] [info] Visit Function Decl: remove
[2020-12-21 14:56:06.814] [Logger] [info] Visit Function Decl: pipe
[2020-12-21 14:56:06.817] [Logger] [info] Visit Function Decl: vfork
[2020-12-21 14:56:06.820] [Logger] [info] Visit Function Decl: find_next_token
[2020-12-21 14:56:06.823] [Logger] [info] Visit Function Decl: next_token
[2020-12-21 14:56:06.826] [Logger] [info] Visit Function Decl: end_of_token
[2020-12-21 14:56:06.833] [Logger] [info] Visit Function Decl: pattern_matches
[2020-12-21 14:56:06.836] [Logger] [info] Visit Function Decl: push_new_variable_scope
[2020-12-21 14:56:06.845] [Logger] [info] Visit Function Decl: pop_variable_scope
[2020-12-21 14:56:06.848] [Logger] [info] Visit Function Decl: multi_glob
[2020-12-21 14:56:06.857] [Logger] [info] Visit Function Decl: parse_file_seq
[2020-12-21 14:56:06.861] [Logger] [info] Visit Function Decl: construct_command_argv
[2020-12-21 14:56:06.866] [Logger] [info] Visit Function Decl: child_execute_job
[2020-12-21 14:56:06.897] [Logger] [info] Visit Function Decl: subst_expand
[2020-12-21 14:56:06.921] [Logger] [info] Visit Function Decl: patsubst_expand
[2020-12-21 14:56:06.929] [Logger] [info] Visit Function Decl: lookup_function
[2020-12-21 14:56:06.951] [Logger] [info] Visit Function Decl: pattern_matches
[2020-12-21 14:56:06.959] [Logger] [info] Visit Function Decl: find_next_argument
[2020-12-21 14:56:06.962] [Logger] [info] Visit Function Decl: string_glob
[2020-12-21 14:56:06.982] [Logger] [info] Visit Function Decl: string_glob
[2020-12-21 14:56:06.987] [Logger] [info] Visit Function Decl: func_patsubst
[2020-12-21 14:56:06.996] [Logger] [info] Visit Function Decl: func_join
[2020-12-21 14:56:07.006] [Logger] [info] Visit Function Decl: func_origin
[2020-12-21 14:56:07.019] [Logger] [info] Visit Function Decl: func_notdir_suffix
[2020-12-21 14:56:07.033] [Logger] [info] Visit Function Decl: func_basename_dir
[2020-12-21 14:56:07.045] [Logger] [info] Visit Function Decl: func_addsuffix_addprefix
[2020-12-21 14:56:07.051] [Logger] [info] Visit Function Decl: func_subst
[2020-12-21 14:56:07.056] [Logger] [info] Visit Function Decl: func_firstword
[2020-12-21 14:56:07.064] [Logger] [info] Visit Function Decl: func_words
